Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
4,8,14,1,6,94,-8,1
3,13,8,1,10,52,-7,0
4,14,9,2,10,39,-11,1
2,9,55,2,20,53,-11,1
1,10,8,1,7,93,6,1
2,2,0,2,1,71,-7,0
3,11,37,1,10,55,-17,0
3,10,38,1,10,66,13,0
3,3,13,1,4,96,5,1
1,10,44,2,5,85,0,1
3,10,43,4,9,73,-14,1
1,4,32,2,5,28,0,0
2,5,43,3,18,12,-12,1
3,11,15,2,2,79,10,0
3,3,21,1,15,39,-10,1
5,11,29,2,1,70,6,0
4,5,53,2,10,26,7,1
2,12,2,3,3,43,13,1
4,13,29,1,10,20,-21,1
1,10,24,2,3,51,0,0
3,8,6,3,7,52,-3,1
3,7,43,1,10,68,10,0
3,13,45,1,10,8,16,0
2,6,4,3,4,23,21,1
2,4,54,1,10,20,-7,1
1,3,46,1,10,37,0,1
3,11,43,1,10,85,17,1
4,7,50,1,10,20,-5,1
1,12,18,2,10,36,0,0
3,11,37,3,14,36,-10,1
1,13,25,2,8,30,0,0
3,12,46,1,10,64,-13,0
2,0,57,3,2,47,11,1
2,0,14,3,4,84,7,1
3,7,18,2,7,51,-6,1
3,9,46,1,10,35,-10,1
2,6,35,2,11,36,0,1
3,1,7,1,10,9,-3,1
1,8,53,3,9,57,0,1
1,8,55,3,9,21,-7,1
2,6,10,1,10,20,-9,0
3,2,56,3,9,67,-3,1
3,2,44,2,21,76,-14,0
3,5,49,2,17,28,-2,1
2,0,30,2,10,41,-20,1
4,12,25,1,10,87,3,0
3,4,48,2,5,92,6,1
1,10,59,3,7,36,0,1
1,9,20,3,11,80,0,1
1,12,15,1,10,55,0,0
2,3,13,3,6,34,11,1
4,10,39,2,10,60,3,0
4,4,48,3,17,42,4,0
1,10,23,3,1,47,0,0
3,2,16,1,10,20,2,0
3,9,5,1,10,20,-7,0
3,2,31,1,10,55,18,0
3,12,52,2,16,35,10,0
2,0,20,1,10,36,2,1
1,11,25,1,10,20,0,1
2,11,29,2,15,82,7,1
3,5,30,1,10,7,-8,0
3,14,18,1,10,45,23,0
3,6,23,1,7,93,-15,0
2,15,0,2,20,41,-10,1
2,4,57,1,10,21,-11,1
4,9,20,2,10,16,-13,1
1,7,31,1,10,36,0,0
4,4,31,3,9,28,4,1
1,14,16,3,8,27,0,1
1,0,9,1,10,43,0,0
4,2,0,4,1,44,-4,1
1,15,0,1,10,25,0,0
2,1,55,1,4,96,14,0
4,3,55,1,10,20,3,1
2,11,21,1,10,54,4,0
3,0,59,1,10,20,-7,0
2,0,48,2,9,40,3,1
2,0,56,3,1,65,10,0
1,11,27,2,10,1,0,1
4,1,56,2,10,70,-6,1
2,9,54,2,6,32,6,1
3,3,55,1,10,64,18,1
1,13,10,1,10,45,0,0
3,1,54,1,10,35,10,0
3,4,32,2,9,21,3,1
3,9,45,2,11,24,-12,1
2,7,54,1,10,30,0,0
1,7,59,2,3,47,1,1
3,7,3,1,10,79,0,0
1,3,22,1,10,20,7,1
3,4,59,1,10,73,6,0
2,1,52,1,10,20,2,1
